ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,ma_short,ma_long,signal,trade,position,market_return,strategy_return,strategy_nav,buy_hold_nav,drawdown
600276.SH,2025-11-20,61.23,61.65,60.54,60.63,253480.06,1544020.77,-0.7855,61.64399999999999,62.14666666666667,0,0.0,0.0,-0.007854688267059373,-0.0,1.1491707344642397,1.138377769432971,-0.07390846521920524
600276.SH,2025-11-21,60.33,61.1,59.31,59.5,447335.34,2679336.097,-1.8638,60.964,61.836666666666666,0,0.0,0.0,-0.018637638132937506,-0.0,1.1491707344642397,1.1171610965076988,-0.07390846521920524
600276.SH,2025-11-24,60.04,61.1,59.96,60.66,343973.24,2083464.658,1.9496,60.736000000000004,61.653999999999996,0,0.0,0.0,0.019495798319327573,0.0,1.1491707344642397,1.1389410439354117,-0.07390846521920524
600276.SH,2025-11-25,61.1,61.61,60.53,60.88,265045.13,1620797.704,0.3627,60.556,61.584666666666664,0,0.0,0.0,0.0036267721727663016,0.0,1.1491707344642397,1.143071723619978,-0.07390846521920524
600276.SH,2025-11-26,61.5,62.8,61.03,62.36,439861.95,2739532.775,2.431,60.806,61.61133333333333,0,0.0,0.0,0.02431011826544016,0.0,1.1491707344642397,1.1708599324070603,-0.07390846521920524
600276.SH,2025-11-27,62.6,62.96,61.94,62.09,257307.63,1604386.052,-0.433,61.098,61.589333333333336,0,0.0,0.0,-0.004329698524695225,-0.0,1.1491707344642397,1.1657904618850927,-0.07390846521920524
600276.SH,2025-11-28,62.36,62.36,61.61,62.08,202776.19,1257510.631,-0.0161,61.614,61.62266666666666,0,0.0,0.0,-0.00016105653084241833,-0.0,1.1491707344642397,1.1656027037176124,-0.07390846521920524
600276.SH,2025-12-01,62.08,62.09,61.06,61.94,254830.95,1567868.103,-0.2255,61.870000000000005,61.63,1,1.0,0.0,-0.0022551546391752497,-0.0,1.1491707344642397,1.1629740893728884,-0.07390846521920524
600276.SH,2025-12-02,61.9,61.9,61.0,61.12,182306.14,1115986.037,-1.3239,61.91799999999999,61.634,1,0.0,1.0,-0.013238618017436199,-0.0142386180174362,1.1328081313393867,1.147577919639505,-0.08709472883213021
600276.SH,2025-12-03,61.1,61.55,60.7,60.97,198529.76,1211357.997,-0.2454,61.64,61.55866666666667,1,0.0,1.0,-0.0024541884816753345,-0.0024541884816753345,1.1300280066715054,1.144761547127301,-0.08933517043349115
